"","masterid","latitude","longitude","county","COMID","geometry"
"1","114KLCT42",38.6414,-122.6641,"Sonoma",8272261,c(-122.6641, 38.6414)
"2","114KLCT53",38.6438,-122.66015,"Sonoma",8272261,c(-122.66015, 38.6438000000001)
"3","BA-4",39.41243281,-123.3401443,"Mendocino",8307024,c(-123.3401443, 39.41243281)
"4","106NC0710",40.70977,-123.68112,"Humboldt",8232164,c(-123.68112, 40.70977)
"5","111NC0569",40.51317,-123.90426,"Humboldt",2703445,c(-123.90426, 40.5131700000001)
"6","106NC0938",40.9822,-122.7217,"Trinity",8245434,c(-122.7217, 40.9822)
"7","106NC0678",41.0465,-123.5777,"Humboldt",8241184,c(-123.5777, 41.0465)
"8","BA-2",39.37689941,-123.3263824,"Mendocino",8307150,c(-123.3263824, 39.3768994100001)
"9","106MJE008",40.39161,-123.27622,"Trinity",8234886,c(-123.27622, 40.3916100000001)
"10","111MJE007",40.04008,-123.86636,"Humboldt",8285482,c(-123.86636, 40.04008)
"11","111MJE004",40.23447,-123.91526,"Humboldt",8284992,c(-123.91526, 40.23447)
"12","111MJE003",40.23387,-123.91645,"Humboldt",8284992,c(-123.91645, 40.23387)
"13","105FCA056",41.4564,-123.93556,"Humboldt",4442410,c(-123.93556, 41.4564)
"14","105FCA020",41.31853,-123.52796,"Humboldt",4442592,c(-123.52796, 41.3185300000001)
"15","111FCA063",40.31844,-123.77101,"Humboldt",2706253,c(-123.77101, 40.3184400000001)
"16","114FCA031",38.81627,-123.01119,"Sonoma",8270711,c(-123.01119, 38.81627)
"17","103FCA168",41.65021,-124.09143,"Del Norte",22226990,c(-124.09143, 41.6502100000001)
"18","114FCA199",38.83,-122.90806,"Sonoma",8271877,c(-122.90806, 38.83)
"19","114CR0903",38.81627,-123.01119,"Sonoma",8270711,c(-123.01119, 38.81627)
"20","114FCA002",38.50417,-122.78806,"Sonoma",8272561,c(-122.78806, 38.50417)
"21","105FCA116",41.31833,-123.04833,"Siskiyou",8257773,c(-123.04833, 41.3183300000001)
"22","105FC1297",41.3286,-123.41992,"Siskiyou",8257759,c(-123.41992, 41.3286000000001)
"23","103FC1106",41.93373,-124.1084,"Del Norte",22226634,c(-124.1084, 41.93373)
"24","106FC1313",40.87032,-122.80039,"Trinity",8245598,c(-122.80039, 40.87032)
"25","111MJE010",40.94707,-123.66389,"Humboldt",8243372,c(-123.66389, 40.9470700000001)
"26","113NRR2xx",39.42787,-123.7407,"Mendocino",2663781,c(-123.7407, 39.42787)
"27","111MJE002",40.49255,-123.90532,"Humboldt",2705381,c(-123.90532, 40.4925500000001)
"28","113NRR3xx",39.42807,-123.74115,"Mendocino",2663779,c(-123.74115, 39.42807)
"29","111MJE005",40.12311,-123.8424,"Humboldt",8285238,c(-123.8424, 40.1231100000001)
"30","111MJE009",40.02222,-123.86395,"Humboldt",8285518,c(-123.86395, 40.0222200000001)
"31","111MJE006",40.04045,-123.86707,"Humboldt",8285482,c(-123.86707, 40.0404500000001)
"32","113PCUR1x",39.46932,-123.72361,"Mendocino",2663685,c(-123.72361, 39.46932)
"33","113PCUR2x",39.46971,-123.72317,"Mendocino",2663685,c(-123.72317, 39.4697100000001)
"34","105FC1116",41.91258,-120.92125,"Modoc",2557043,c(-120.92125, 41.91258)
"35","113PCLR3x",39.44947,-123.73616,"Mendocino",2665521,c(-123.73616, 39.4494700000001)
"36","105FCA010",42.00122,-122.76609,"Siskiyou",359295,c(-122.76609, 42.00122)
"37","105FCA040",41.53926,-123.52673,"Siskiyou",4439896,c(-123.52673, 41.5392600000001)
"38","108FCA013",41.08977,-124.08483,"Humboldt",8315767,c(-124.08483, 41.08977)
"39","111FCA207",40.10694,-123.79667,"Humboldt",8285292,c(-123.79667, 40.1069400000001)
"40","106FCA008",40.62833,-123.37666,"Trinity",8232508,c(-123.37666, 40.6283300000001)
"41","105FC1120",41.55364,-121.92469,"Siskiyou",8265420,c(-121.92469, 41.55364)
"42","111CR1012",40.5089,-124.137,"Humbolt",2702661,c(-124.137, 40.5089)
"43","111FC1098",39.75738,-123.72484,"Mendocino",8287522,c(-123.72484, 39.7573800000001)
"44","105CR0901",41.3226,-123.5227,"Humboldt",4442592,c(-123.5227, 41.3226000000001)
"45","105CR0906",41.5481,-123.5254,"Siskiyou",4439804,c(-123.5254, 41.5481)
"46","105CR0908",41.4462,-123.9333,"Humbolt",4442414,c(-123.9333, 41.4462)
"47","105CR1004",41.2755,-123.6008,"Humbolt",4442642,c(-123.6008, 41.2755000000001)
"48","106FC1183",40.63704,-122.7465,"Trinity",8246442,c(-122.7465, 40.6370400000001)
"49","113NRR1xx",39.42782,-123.74007,"Mendocino",2663781,c(-123.74007, 39.4278200000001)
"50","113PCLR1x",39.44854,-123.73616,"Mendocino",2665521,c(-123.73616, 39.44854)
"51","113PCLR2x",39.44898,-123.73616,"Mendocino",2665521,c(-123.73616, 39.4489800000001)
"52","113PCUR3x",39.4701,-123.72273,"Mendocino",2663685,c(-123.72273, 39.4701000000001)
"53","114KLCT41",38.64413,-122.66346,"Sonoma",8272261,c(-122.66346, 38.6441300000001)
"54","BA-7",39.42296928,-123.3414658,"Mendocino",8306992,c(-123.3414658, 39.4229692800001)
"55","BA-10",39.42654416,-123.345648,"Mendocino",8307020,c(-123.345648, 39.42654416)
"56","111WE0825",40.49018,-123.61268,"Humboldt",2705433,c(-123.61268, 40.4901800000001)
"57","BA-5",39.41422164,-123.3394775,"Mendocino",8307024,c(-123.3394775, 39.4142216400001)
"58","106WE1055",40.90353,-123.01368,"Trinity",8243780,c(-123.01368, 40.90353)
"59","105WE0598",41.24444,-123.32795,"Siskiyou",8258763,c(-123.32795, 41.2444400000001)
"60","106WE1066",41.15445,-123.56903,"Humboldt",8240980,c(-123.56903, 41.1544500000001)
"61","111WE0837",39.8693,-123.05088,"Mendocino",8294791,c(-123.05088, 39.8693000000001)
"62","111WE1056",40.29079,-123.45477,"Trinity",2706393,c(-123.45477, 40.2907900000001)
"63","106WER011",40.93667,-123.15389,"Trinity",8243440,c(-123.15389, 40.93667)
"64","111MJE001",40.47755,-123.77727,"Humboldt",2705489,c(-123.77727, 40.4775500000001)
"65","BA-9",39.42429488,-123.3450749,"Mendocino",8307020,c(-123.3450749, 39.42429488)
"66","103WER029",41.80827,-124.11215,"Del Norte",22226782,c(-124.11215, 41.8082700000001)
"67","111WE0832",39.65009,-123.60805,"Mendocino",8287730,c(-123.60805, 39.65009)
"68","106WE1080",40.45212,-123.41928,"Trinity",8234712,c(-123.41928, 40.45212)
"69","106WER014",40.24101,-123.08278,"Trinity",8236316,c(-123.08278, 40.2410100000001)
"70","106WE0824",41.19708,-122.52973,"Trinity",8242088,c(-122.52973, 41.19708)
"71","103WER030",41.85675,-123.91167,"Del Norte",22227610,c(-123.91167, 41.85675)
"72","111WER036",40.16118,-123.4009,"Trinity",2706761,c(-123.4009, 40.1611800000001)
"73","106WER062",41.13472,-122.80333,"Trinity",8242250,c(-122.80333, 41.1347200000001)
"74","BA-8",39.42146523,-123.3431125,"Mendocino",8307020,c(-123.3431125, 39.4214652300001)
"75","111WER046",39.74028,-123.62972,"Mendocino",8287544,c(-123.62972, 39.74028)
"76","105WE1000",41.74725,-122.62649,"Siskiyou",3917934,c(-122.62649, 41.7472500000001)
"77","103WER026",41.84611,-124.0275,"Del Norte",22226748,c(-124.0275, 41.8461100000001)
"78","112WER078",40.21917,-124.11222,"Humboldt",2544661,c(-124.11222, 40.2191700000001)
"79","106WER037",41.00861,-123.60081,"Humboldt",8241296,c(-123.60081, 41.00861)
"80","111WE0618",40.6568,-123.9803,"Humboldt",2703093,c(-123.9803, 40.6568)
"81","111WER022",39.985,-123.0504,"Trinity",8294601,c(-123.0504, 39.9850000000001)
"82","111WER080",40.1225,-123.84222,"Humboldt",8285238,c(-123.84222, 40.1225000000001)
"83","105WE0857",41.8443,-123.19272,"Siskiyou",360321,c(-123.19272, 41.8443)
"84","103WE1072",41.84402,-124.00182,"Del Norte",22226752,c(-124.00182, 41.8440200000001)
"85","111WE0813",39.95969,-123.43736,"Mendocino",2709217,c(-123.43736, 39.9596900000001)
"86","105WE0604",41.33837,-122.9178,"Siskiyou",3801149,c(-122.9178, 41.3383700000001)
"87","105WE0592",41.3626,-122.5188,"Siskiyou",3918664,c(-122.5188, 41.3626)
"88","105WE0613",41.88844,-123.4131,"Siskiyou",4438784,c(-123.4131, 41.8884400000001)
"89","106WE0768",40.62567,-122.95602,"Trinity",8246006,c(-122.95602, 40.6256700000001)
"90","105WE0761",41.66347,-123.27663,"Siskiyou",4439464,c(-123.27663, 41.6634700000001)
"91","106WE0587",40.62725,-123.3729,"Trinity",8232508,c(-123.3729, 40.6272500000001)
"92","113WE0619",39.40743,-123.7407,"Mendocino",2663845,c(-123.7407, 39.40743)
"93","111WE0606",39.79937,-123.7449,"Mendocino",8288630,c(-123.7449, 39.7993700000001)
"94","105WE0591",41.60326,-123.49999,"Siskiyou",4440566,c(-123.49999, 41.60326)
"95","105WE0630",41.46137,-123.49679,"Siskiyou",4442442,c(-123.49679, 41.46137)
"96","105WE0601",41.83196,-122.84729,"Siskiyou",362203,c(-122.84729, 41.83196)
"97","113WE0590",39.18657,-123.5481,"Mendocino",2664495,c(-123.5481, 39.1865700000001)
"98","107WE0605",40.89154,-123.8084,"Humboldt",8318041,c(-123.8084, 40.8915400000001)
"99","103WE0585",41.85242,-123.89641,"Del Norte",22227602,c(-123.89641, 41.8524200000001)
"100","106WE0574",41.0483,-122.6553,"Trinity",8242492,c(-122.6553, 41.0483)
"101","106WE0505",40.86244,-122.90169,"Trinity",8245608,c(-122.90169, 40.86244)
"102","111WE0600",40.52712,-124.1702,"Humboldt",2702269,c(-124.1702, 40.52712)
"103","106WE0580",40.7789,-123.33513,"Trinity",8244304,c(-123.33513, 40.7789000000001)
"104","110WE0838",40.72861,-124.06014,"Humboldt",8317011,c(-124.06014, 40.7286100000001)
"105","BA-11",39.42780434,-123.3588417,"Mendocino",8306962,c(-123.3588417, 39.4278043400001)
"106","106WE0593",40.84723,-123.39963,"Trinity",8243996,c(-123.39963, 40.84723)
"107","105WE0756",41.49024,-122.02899,"Siskiyou",8265758,c(-122.02899, 41.49024)
"108","105WE0811",41.57212,-123.64054,"Siskiyou",4439748,c(-123.64054, 41.57212)
"109","106WE0831",40.6977,-123.36434,"Trinity",8232248,c(-123.36434, 40.6977000000001)
"110","105WE0845",42.003,-122.76312,"Siskiyou",359295,c(-122.76312, 42.003)
"111","105WE0603",41.2912,-123.56865,"Humboldt",4442616,c(-123.56865, 41.2912000000001)
"112","106WE0843",40.44593,-122.94635,"Trinity",8248430,c(-122.94635, 40.44593)
"113","106SPIPP1",40.791005,-122.687961,"Trinity",8245702,c(-122.687961, 40.791005)
"114","111WE0816",39.58789,-122.9165,"Mendocino",8305328,c(-122.9165, 39.5878900000001)
"115","111WE0814",40.39042,-123.92781,"Humboldt",2708823,c(-123.92781, 40.3904200000001)
"116","114WE0810",38.87519,-122.88173,"Mendocino",8271831,c(-122.88173, 38.87519)
"117","BA-3",39.37777737,-123.3329004,"Mendocino",8307150,c(-123.3329004, 39.37777737)
"118","115WE0835",38.36687,-122.95615,"Sonoma",3879986,c(-122.95615, 38.3668700000001)
"119","106WE0581",40.25425,-123.1078,"Trinity",8236312,c(-123.1078, 40.2542500000001)
"120","107WE0750",40.7548,-123.73981,"Humboldt",8318353,c(-123.73981, 40.7548)
"121","105WE0833",41.8617,-122.20766,"Siskiyou",362083,c(-122.20766, 41.8617)
"122","103WE0817",41.82633,-124.11418,"Del Norte",22226782,c(-124.11418, 41.82633)
"123","105WE0583",41.70845,-123.13085,"Siskiyou",3798115,c(-123.13085, 41.70845)
"124","106WE0812",40.68862,-122.93228,"Trinity",8245846,c(-122.93228, 40.6886200000001)
"125","111WE1092",40.22275,-123.72062,"Humboldt",2706555,c(-123.72062, 40.2227500000001)
"126","106WE1079",41.13251,-122.80644,"Trinity",8242250,c(-122.80644, 41.13251)
"127","111WE1050",39.71181,-122.8409,"Glenn",8297445,c(-122.8409, 39.7118100000001)
"128","111WE1071",39.70044,-122.81126,"Glenn",8297475,c(-122.81126, 39.7004400000001)
"129","111WE1106",40.61985,-124.03025,"Humboldt",2702017,c(-124.03025, 40.61985)
"130","105WE0579",41.24859,-123.77525,"Humboldt",4442600,c(-123.77525, 41.24859)
"131","105WE1064",41.81902,-122.81502,"Siskiyou",362285,c(-122.81502, 41.8190200000001)
"132","105WE1005",41.11777,-123.81514,"Humboldt",4442008,c(-123.81514, 41.1177700000001)
"133","108WE1090",41.09051,-124.08467,"Humboldt",8315755,c(-124.08467, 41.0905100000001)
"134","114WE1048",38.50417,-122.7871,"Sonoma",8272561,c(-122.7871, 38.50417)
"135","109WE1051",40.93151,-124.07934,"Humboldt",8316787,c(-124.07934, 40.9315100000001)
"136","105WE1060",41.39686,-123.83009,"Humboldt",4441290,c(-123.83009, 41.3968600000001)
"137","106WE1062",40.60279,-122.91109,"Trinity",8245974,c(-122.91109, 40.60279)
"138","105WE1091",41.05071,-122.93366,"Siskiyou",8259115,c(-122.93366, 41.05071)
"139","112WE1063",40.16947,-124.04001,"Humboldt",2544757,c(-124.04001, 40.16947)
"140","111WE1065",39.44159,-122.82022,"Lake",8308404,c(-122.82022, 39.4415900000001)
"141","111WE1075",40.03758,-123.88138,"Humboldt",8285444,c(-123.88138, 40.03758)
"142","111WE0844",40.31673,-123.99758,"Humboldt",8284834,c(-123.99758, 40.3167300000001)
"143","105WE1067",41.3289,-122.84332,"Siskiyou",3801139,c(-122.84332, 41.3289)
"144","111WE1057",40.49014,-124.00231,"Humboldt",2704051,c(-124.00231, 40.4901400000001)
"145","101WE1111",41.99178,-124.18097,"Del Norte",23949493,c(-124.18097, 41.9917800000001)
"146","111WE1074",40.59509,-123.91843,"Humboldt",2703197,c(-123.91843, 40.59509)
"147","114WER118",38.5875,-123.06222,"Sonoma",8270965,c(-123.06222, 38.5875)
"148","114WE0614",38.53917,-123.07056,"Sonoma",8271033,c(-123.07056, 38.5391700000001)
"149","113WER086",39.23667,-123.39222,"Mendocino",2664327,c(-123.39222, 39.2366700000001)
"150","111WER077",40.29556,-123.90361,"Humboldt",8284864,c(-123.90361, 40.2955600000001)
"151","111WER047",39.72944,-123.63139,"Mendocino",8287590,c(-123.63139, 39.7294400000001)
"152","107WER092",41.4,-124.05806,"Humboldt",8315549,c(-124.05806, 41.4)
"153","111WER098",40.48843,-123.90767,"Humboldt",2705443,c(-123.90767, 40.4884300000001)
"154","113WER088",39.07556,-123.46361,"Mendocino",2664915,c(-123.46361, 39.0755600000001)
"155","113WER082",39.39417,-123.68472,"Mendocino",2663889,c(-123.68472, 39.39417)
"156","106WER016",40.48972,-123.02833,"Trinity",8234604,c(-123.02833, 40.48972)
"157","111WER008",39.49361,-122.86417,"Lake",8308096,c(-122.86417, 39.49361)
"158","105WER052",41.31614,-123.05905,"Siskiyou",8257797,c(-123.05905, 41.3161400000001)
"159","106WER012",40.23806,-123.08,"Trinity",8235160,c(-123.08, 40.2380600000001)
"160","111WER003",39.53861,-122.86028,"Lake",8305416,c(-122.86028, 39.5386100000001)
"161","111WER159",39.42944,-122.84444,"Lake",8308468,c(-122.84444, 39.4294400000001)
"162","106FC0022",40.6373,-122.7461,"Trinity",8246442,c(-122.7461, 40.6373)
"163","105FCA034",41.27035,-123.604,"Humboldt",4442642,c(-123.604, 41.2703500000001)
"164","105FCA002",41.31852852,-123.5279598,"Humboldt",4442592,c(-123.5279598, 41.31852852)
"165","105FCA013",41.53926057,-123.5267321,"Siskiyou",4439896,c(-123.5267321, 41.5392605700001)
"166","105FCA065",41.84331069,-122.8997348,"Siskiyou",362143,c(-122.8997348, 41.8433106900001)
"167","105FCA014",41.45639606,-123.9355648,"Humboldt",4442410,c(-123.9355648, 41.45639606)
"168","106C10094",40.77203975,-123.3027922,"Trinity",8244328,c(-123.3027922, 40.77203975)
"169","110FCA102",40.72528,-124.11528,"Humboldt",8317019,c(-124.11528, 40.7252800000001)
"170","BA-17",39.44290027,-123.3503829,"Mendocino",8306898,c(-123.3503829, 39.4429002700001)
"171","109PS0162",40.90519,-124.04166,"Humboldt",8316819,c(-124.04166, 40.9051900000001)
"172","105CE0073",41.42694,-122.39555,"Siskiyou",3918426,c(-122.39555, 41.4269400000001)
"173","114CE0603",39.24027,-123.32416,"Mendocino",8268127,c(-123.32416, 39.2402700000001)
"174","110CE0485",40.83722,-124.06861,"Humboldt",8316885,c(-124.06861, 40.8372200000001)
"175","114CE0567",38.425,-122.65888,"Sonoma",948010117,c(-122.65888, 38.4250000000001)
"176","113CE0001",39.5475,-123.72388,"Mendocino",2662279,c(-123.72388, 39.5475000000001)
"177","114CE0059",39.2825,-123.29194,"Mendocino",8267963,c(-123.29194, 39.2825)
"178","113CE0487",39.1,-123.50083,"Mendocino",2665623,c(-123.50083, 39.1000000000001)
"179","105CE0765",41.46138,-122.43888,"Siskiyou",3918388,c(-122.43888, 41.4613800000001)
"180","105CE0029",41.66083,-122.49833,"Siskiyou",3917966,c(-122.49833, 41.66083)
"181","111CE0089",40.4625,-123.5425,"Trinity",2705609,c(-123.5425, 40.4625)
"182","111CE0551",39.35314,-122.77651,"Lake",8308798,c(-122.77651, 39.3531400000001)
"183","113CE0097",39.25472,-123.51,"Mendocino",2665571,c(-123.51, 39.2547200000001)
"184","105CE0149",41.48333,-123.74194,"Del Norte",4442318,c(-123.74194, 41.4833300000001)
"185","110CE0613",40.80055,-124.15111,"Humboldt",8316905,c(-124.15111, 40.80055)
"186","114CE0131",38.78972,-123.19638,"Sonoma",8270719,c(-123.19638, 38.78972)
"187","109CE0101",40.83333,-123.95194,"Humboldt",8318169,c(-123.95194, 40.83333)
"188","114CE0183",38.50722,-122.75694,"Sonoma",8272561,c(-122.75694, 38.5072200000001)
"189","105CE0525",41.73671,-122.55309,"Siskiyou",948010088,c(-122.55309, 41.7367100000001)
"190","105CE0557",41.53945,-122.84279,"Siskiyou",3799671,c(-122.84279, 41.53945)
"191","105CE0489",41.47694,-122.84972,"Siskiyou",3800921,c(-122.84972, 41.4769400000001)
"192","114CE0535",38.39805,-122.86694,"Sonoma",8273317,c(-122.86694, 38.3980500000001)
"193","105CE0141",41.89194,-122.48694,"Siskiyou",361921,c(-122.48694, 41.89194)
"194","105CE0173",41.73972,-122.62972,"Siskiyou",3917192,c(-122.62972, 41.73972)
"195","114CE0259",38.80456,-122.82664,"Sonoma",8271909,c(-122.82664, 38.80456)
"196","110CE0229",40.77083,-124.07527,"Humboldt",8316929,c(-124.07527, 40.77083)
"197","106CE0217",40.55472,-123.09861,"Trinity",8232760,c(-123.09861, 40.55472)
"198","105CE0269",41.78232,-122.47448,"Siskiyou",3917092,c(-122.47448, 41.78232)
"199","106CE0577",40.59777,-122.90361,"Trinity",8245974,c(-122.90361, 40.59777)
"200","114CE0283",39.26083,-123.11083,"Mendocino",8269079,c(-123.11083, 39.2608300000001)
"201","106CE0257",40.45583,-123.16222,"Trinity",8234706,c(-123.16222, 40.45583)
"202","111CE0569",40.3461,-123.99327,"Humboldt",8284792,c(-123.99327, 40.3461)
"203","115CE0239",38.25666,-122.79361,"Sonoma",3880096,c(-122.79361, 38.2566600000001)
"204","106CE0521",41.04583,-123.53888,"Humboldt",8241182,c(-123.53888, 41.0458300000001)
"205","105CE0205",41.70111,-122.6425,"Siskiyou",3917288,c(-122.6425, 41.70111)
"206","105CE0329",41.3075,-123.03361,"Siskiyou",8257849,c(-123.03361, 41.3075000000001)
"207","114CE0695",38.43611,-122.72888,"Sonoma",8273645,c(-122.72888, 38.43611)
"208","106CE0713",40.75027,-122.91777,"Trinity",8246412,c(-122.91777, 40.7502700000001)
"209","105CE0685",41.77138,-122.605,"Siskiyou",3917120,c(-122.605, 41.7713800000001)
"210","105SED077",41.62417,-122.06463,"Siskiyou",8264738,c(-122.06463, 41.62417)
"211","105PS0092",41.5766,-121.92436,"Siskiyou",8265414,c(-121.92436, 41.5766)
"212","105PS0028",41.75104,-122.00236,"Siskiyou",948010238,c(-122.00236, 41.75104)
"213","105PS0188",41.71972,-122.34917,"Siskiyou",3917218,c(-122.34917, 41.7197200000001)
"214","105PS0043",41.72919,-123.23588,"Siskiyou",360453,c(-123.23588, 41.7291900000001)
"215","111PS0013",40.40597,-123.8484,"Humboldt",2705873,c(-123.8484, 40.40597)
"216","107PS0021",41.32445,-124.00712,"Humboldt",8315591,c(-124.00712, 41.3244500000001)
"217","106PS0022",40.67269,-123.52279,"Trinity",8232312,c(-123.52279, 40.67269)
"218","111PS0060",40.1289,-123.11226,"Trinity",8292809,c(-123.11226, 40.1289)
"219","111PS0008",39.52196,-123.3967,"Mendocino",8303686,c(-123.3967, 39.52196)
"220","111PS0057",40.46917,-123.92925,"Humboldt",2705647,c(-123.92925, 40.4691700000001)
"221","113PS0012",39.257,-123.50959,"Mendocino",2664265,c(-123.50959, 39.2570000000001)
"222","106PS0051",41.24781,-122.64249,"Trinity",8242694,c(-122.64249, 41.2478100000001)
"223","111PS0160",39.44605,-123.02893,"Lake",8306902,c(-123.02893, 39.4460500000001)
"224","114PS0088",38.5574,-123.0942,"Sonoma",8270989,c(-123.0942, 38.5574)
"225","113PS0100",39.31779,-123.62643,"Mendocino",2664095,c(-123.62643, 39.3177900000001)
"226","105PS0083",41.36472,-123.18805,"Siskiyou",8257659,c(-123.18805, 41.36472)
"227","105PS0067",41.13969,-123.13928,"Siskiyou",8258279,c(-123.13928, 41.13969)
"228","105PS0097",41.73897,-123.35637,"Siskiyou",4439234,c(-123.35637, 41.7389700000001)
"229","106PS0078",40.55161,-123.13495,"Trinity",8232728,c(-123.13495, 40.55161)
"230","111PS0095",39.78908,-123.73694,"Mendocino",8288634,c(-123.73694, 39.7890800000001)
"231","113PS0084",39.40611,-123.71263,"Mendocino",2663891,c(-123.71263, 39.4061100000001)
"232","111PS0110",39.35153,-122.87673,"Lake",8308814,c(-122.87673, 39.35153)
"233","105PS0090",41.07997,-123.02911,"Siskiyou",8258405,c(-123.02911, 41.0799700000001)
"234","105PS0107",41.71232,-123.0186,"Siskiyou",3798105,c(-123.0186, 41.71232)
"235","105PS0069",41.2952,-123.94041,"Humboldt",4441642,c(-123.94041, 41.2952000000001)
"236","106PS0106",40.81234,-123.11985,"Trinity",8244186,c(-123.11985, 40.8123400000001)
"237","105PS0468",41.90294,-121.01732,"Modoc",2556363,c(-121.01732, 41.9029400000001)
"238","105PS0276",41.98998,-120.81077,"Modoc",2556977,c(-120.81077, 41.9899800000001)
"239","105PS0540",41.62029,-122.06964,"Siskiyou",8264738,c(-122.06964, 41.6202900000001)
"240","106PS0122",41.11227,-122.86482,"Trinity",8242294,c(-122.86482, 41.1122700000001)
"241","111PS0144",39.90023,-123.01722,"Mendocino",8294689,c(-123.01722, 39.9002300000001)
"242","110PS0114",40.68788,-124.05053,"Humboldt",8317105,c(-124.05053, 40.6878800000001)
"243","102PS0139",41.99596,-122.95979,"Siskiyou",23936337,c(-122.95979, 41.99596)
"244","105PS0129",41.92387,-123.46497,"Siskiyou",4438708,c(-123.46497, 41.9238700000001)
"245","113PS0120",39.15087,-123.6358,"Mendocino",2664653,c(-123.6358, 39.1508700000001)
"246","111PS0204",39.27704,-122.86602,"Lake",8309206,c(-122.86602, 39.2770400000001)
"247","111PS0121",40.22576,-123.84549,"Humboldt",8285008,c(-123.84549, 40.22576)
"248","106PS0115",41.17285,-122.86988,"Trinity",8242116,c(-122.86988, 41.17285)
"249","106PS0142",40.45844,-123.16716,"Trinity",8234706,c(-123.16716, 40.4584400000001)
"250","113PS0132",39.55671,-123.7235,"Mendocino",2662241,c(-123.7235, 39.5567100000001)
"251","106PS0124",40.1704,-123.02884,"Trinity",8235234,c(-123.02884, 40.1704)
"252","105PS0660",41.91571,-120.88863,"Modoc",2557039,c(-120.88863, 41.91571)
"253","113PS0168",38.75349,-123.40511,"Sonoma",8281673,c(-123.40511, 38.7534900000001)
"254","114PS0145",38.8936,-123.07073,"Mendocino",8270595,c(-123.07073, 38.8936)
"255","114PS0152",38.46342,-123.00871,"Sonoma",8272771,c(-123.00871, 38.46342)
"256","111PS0159",39.79971,-123.65586,"Mendocino",8287442,c(-123.65586, 39.7997100000001)
"257","112PS0157",40.2316,-124.11221,"Humboldt",2544631,c(-124.11221, 40.2316000000001)
"258","111PS0169",40.58297,-123.98891,"Humboldt",2703219,c(-123.98891, 40.58297)
"259","106PS0173",40.37818,-123.29889,"Trinity",8234928,c(-123.29889, 40.37818)
"260","114BSCMRx",38.82464,-122.87825,"Sonoma",8271877,c(-122.87825, 38.82464)
