"","Name","Filename","ID","gagelat","gagelong","HUC_12","geometry"
"91","Mark West Creek near Calistoga Road (MWCC)","Gauges_updated_SWRCB.shp","G55",38.5163190000001,-122.655211,"180101100706",c(-122.655211, 38.5163190000001)
"92","Mill Crk below Felta Crk (at WestSide School)","Gauges_updated_SWRCB.shp","G56",38.5810401360001,-122.882912632,"180101100506",c(-122.882912632, 38.5810401360001)
"93","Bull Creek near Weott (BCW)","Gauges_updated_SWRCB.shp","G57",40.351948,-124.005511,"180101060406",c(-124.005511, 40.351948)
"94","Salmon Creek near Miranda (SCM)","Gauges_updated_SWRCB.shp","G58",40.22534682,-123.8460908,"180101060404",c(-123.8460908, 40.22534682)
"95","Redwood Creek near Redway (RCR)","Gauges_updated_SWRCB.shp","G59",40.12197224,-123.8400332,"180101060402",c(-123.8400332, 40.12197224)
"96","Cedar Creek near Leggett (CCL)","Gauges_updated_SWRCB.shp","G63",39.8424359100001,-123.7048941,"180101060105",c(-123.7048941, 39.8424359100001)
"97","Hollow Tree Creek near Leggett (HTL)","Gauges_updated_SWRCB.shp","G64",39.8462275900001,-123.7307538,"180101060301",c(-123.7307538, 39.8462275900001)
"98","Rattlesnake Creek near Cummings (RSC)","Gauges_updated_SWRCB.shp","G65",39.8317687100001,-123.6198076,"180101060104",c(-123.6198076, 39.8317687100001)
"99","South Fork Eel near Branscomb (SEB)","Gauges_updated_SWRCB.shp","G70",39.71909965,-123.6519942,"180101060103",c(-123.6519942, 39.71909965)
"100","Austin Creek","Gauges_updated_SWRCB.shp","G74",38.5290926500001,-123.0660904,"180101100801",c(-123.0660904, 38.5290926500001)
"101","Gray Creek","Gauges_updated_SWRCB.shp","G75",38.5925416800001,-123.0297599,"180101100801",c(-123.0297599, 38.5925416800001)
"102","Feliz Creek","Gauges_updated_SWRCB.shp","G76",38.962114,-123.165058,"180101100408",c(-123.165058, 38.962114)
"103","PAL-000.04","Gauges_updated_SWRCB.shp","G79",38.58388727,-122.9479232,"180101100506",c(-122.9479232, 38.58388727)
"104","WIL-003.68","Gauges_updated_SWRCB.shp","G80",38.43020212,-123.0676751,"180101100904",c(-123.0676751, 38.43020212)
"105","Porter Creek above Fish Antennae","Gauges_updated_SWRCB.shp","G81",38.51840801,-122.891713,"180101100902",c(-122.891713, 38.51840801)
"106","Porter Creek at Weir","Gauges_updated_SWRCB.shp","G82",38.5209034700001,-122.8949982,"180101100902",c(-122.8949982, 38.5209034700001)
"107","Porter Creek below 2nd Release","Gauges_updated_SWRCB.shp","G83",38.5305038600001,-122.899216,"180101100902",c(-122.899216, 38.5305038600001)
"108","Mill Creek at Bear Flat","Gauges_updated_SWRCB.shp","G84",38.59670806,-122.9649925,"180101100506",c(-122.9649925, 38.59670806)
"109","Mill Creek above the Falls","Gauges_updated_SWRCB.shp","G85",38.5828433,-122.891566,"180101100506",c(-122.891566, 38.5828433)
"110","Mill Creek Above Wallace Creek","Gauges_updated_SWRCB.shp","G86",38.595855,-122.914477,"180101100506",c(-122.914477, 38.595855)
"111","Mill Creek below Puccioni Road","Gauges_updated_SWRCB.shp","G87",38.5867008500001,-122.9302213,"180101100506",c(-122.9302213, 38.5867008500001)
"112","Green Valley Creek at Bones Road","Gauges_updated_SWRCB.shp","G88",38.4367552200001,-122.9094145,"180101100901",c(-122.9094145, 38.4367552200001)
"113","Purrington Creek near Graton Road","Gauges_updated_SWRCB.shp","G89",38.4310687600001,-122.8924231,"180101100901",c(-122.8924231, 38.4310687600001)
"114","Green Valley Creek near Harrison Grade Road","Gauges_updated_SWRCB.shp","G90",38.4424900000001,-122.917379,"180101100901",c(-122.917379, 38.4424900000001)
"115","Green Valley Creek below Bones Road","Gauges_updated_SWRCB.shp","G91",38.4356193,-122.9089584,"180101100901",c(-122.9089584, 38.4356193)
"116","Mark West Creek Below Tarwater Road","Gauges_updated_SWRCB.shp","G92",38.5191519200001,-122.6144308,"180101100706",c(-122.6144308, 38.5191519200001)
"117","Mark West Above Porter Creek","Gauges_updated_SWRCB.shp","G93",38.54143629,-122.6826201,"180101100706",c(-122.6826201, 38.54143629)
"118","Grape Above Wine Creek confluence","Gauges_updated_SWRCB.shp","G94",38.6551923700001,-122.9484406,"180101100507",c(-122.9484406, 38.6551923700001)
"119","Grape Creek below Wine Creek confluence","Gauges_updated_SWRCB.shp","G95",38.65494965,-122.9446111,"180101100507",c(-122.9446111, 38.65494965)
"120","Grape Creek at West Dry Creek Road","Gauges_updated_SWRCB.shp","G96",38.6563281100001,-122.9381459,"180101100507",c(-122.9381459, 38.6563281100001)
"121","Dutch Bill near Grub Creek","Gauges_updated_SWRCB.shp","G97",38.43907905,-122.9761689,"180101100903",c(-122.9761689, 38.43907905)
"122","Dutch Bill Creek Above Tyrone Road","Gauges_updated_SWRCB.shp","G98",38.4433133300001,-122.9940534,"180101100903",c(-122.9940534, 38.4433133300001)
"123","Dutch Bill Below Tyrone Road","Gauges_updated_SWRCB.shp","G99",38.45060786,-123.0002957,"180101100903",c(-123.0002957, 38.45060786)
"124","Mill Creek @ MCL","Gauges_updated_SWRCB.shp","G100",38.5898080200001,-122.9019951,"180101100506",c(-122.9019951, 38.5898080200001)
"125","Green Valley Creek near Upp Road","Gauges_updated_SWRCB.shp","G101",38.4339535600001,-122.9014712,"180101100901",c(-122.9014712, 38.4339535600001)
"126","Lower Mill Creek near Bramkampo Rd","Gauges_updated_SWRCB.shp","G102",38.5849051700001,-122.8760718,"180101100506",c(-122.8760718, 38.5849051700001)
"127","Lower Mill Creek at Teepee","Gauges_updated_SWRCB.shp","G103",38.5834284700001,-122.8775026,"180101100506",c(-122.8775026, 38.5834284700001)
"128","Browns Ck @ B Bar K Rd.","Ongoing Trinity monitoring sites_SWRCB.shp","Ot1",40.6506088767542,-122.985215681654,"180102110602",c(-122.985215681654, 40.6506088767542)
"129","Reading at Mouth","Ongoing Trinity monitoring sites_SWRCB.shp","Ot3",40.6427534791904,-122.952855310238,"180102110706",c(-122.952855310238, 40.6427534791904)
"130","Big Ck u/s of HWY 3","Ongoing Trinity monitoring sites_SWRCB.shp","Ot6",40.5536866153974,-123.144403565722,"180102120204",c(-123.144403565722, 40.5536866153974)
"131","EVA","SonomaOneRain2020_SWRCB.shp","S1",39.3886,-123.115,"180101030503",c(-123.115, 39.3886)
"132","USGS 11461500 EF RUSSIAN R NR CALPELLA CA","SonomaOneRain2020_SWRCB.shp","S2",39.24655605,-123.1302806,"180101100103",c(-123.1302806, 39.24655605)
"133","COY","SonomaOneRain2020_SWRCB.shp","S3",39.197,-123.186,"180101100203",c(-123.186, 39.197)
"134","USGS 11461000 RUSSIAN R NR UKIAH CA","SonomaOneRain2020_SWRCB.shp","S4",39.1954471,-123.1950048,"180101100203",c(-123.1950048, 39.1954471)
"135","RR_Forks","SonomaOneRain2020_SWRCB.shp","S5",39.1889404465401,-123.200290963856,"180101100403",c(-123.200290963856, 39.1889404465401)
"136","USGS 11462080 RUSSIAN R NR TALMAGE CA","SonomaOneRain2020_SWRCB.shp","S6",39.1129496,-123.1830602,"180101100405",c(-123.1830602, 39.1129496)
"137","USGS 11463000 RUSSIAN R NR CLOVERDALE CA","SonomaOneRain2020_SWRCB.shp","S8",38.8793475,-123.0536124,"180101100411",c(-123.0536124, 38.8793475)
"138","USGS 11463200 BIG SULPHUR C NR CLOVERDALE CA","SonomaOneRain2020_SWRCB.shp","S9",38.8260167,-122.9969442,"180101100302",c(-122.9969442, 38.8260167)
"139","WRS","SonomaOneRain2020_SWRCB.shp","S10",38.723,-123.01,"180101100504",c(-123.01, 38.723)
"140","USGS 11465200 DRY C NR GEYSERVILLE CA","SonomaOneRain2020_SWRCB.shp","S11",38.698521,-122.9580539,"180101100507",c(-122.9580539, 38.698521)
"141","USGS 11465240 DRY C BLW LAMBERT BR NR GEYSERVILLE CA","SonomaOneRain2020_SWRCB.shp","S13",38.65324355,-122.9272191,"180101100507",c(-122.9272191, 38.65324355)
"142","USGS 11463900 MAACAMA C NR KELLOGG CA","SonomaOneRain2020_SWRCB.shp","S15",38.6410198,-122.7638792,"180101100604",c(-122.7638792, 38.6410198)
"143","USGS 11463980 RUSSIAN R A DIGGER BEND NR HEALDSBURG CA","SonomaOneRain2020_SWRCB.shp","S16",38.6329653,-122.8555494,"180101100605",c(-122.8555494, 38.6329653)
"144","USGS 11464000 RUSSIAN R NR HEALDSBURG CA","SonomaOneRain2020_SWRCB.shp","S17",38.61324316,-122.8363818,"180101100605",c(-122.8363818, 38.61324316)
"145","USGS 11465350 DRY C NR MOUTH NR HEALDSBURG CA","SonomaOneRain2020_SWRCB.shp","S18",38.58741046,-122.8622159,"180101100507",c(-122.8622159, 38.58741046)
"146","USGS 11465390 RUSSIAN R NR WINDSOR CA","SonomaOneRain2020_SWRCB.shp","S19",38.5157448,-122.8647153,"180101100902",c(-122.8647153, 38.5157448)
"147","USGS 11466320 SANTA ROSA C A WILLOWSIDE RD NR SANTA ROSA CA","SonomaOneRain2020_SWRCB.shp","S23",38.44519026,-122.8072129,"180101100703",c(-122.8072129, 38.44519026)
"148","Mark West Creek at Michele Way","SonomaOneRain2020_SWRCB.shp","S24",38.5117436572893,-122.724165767402,"180101100706",c(-122.724165767402, 38.5117436572893)
"149","USGS 11466800 MARK WEST C NR MIRABEL HEIGHTS CA","SonomaOneRain2020_SWRCB.shp","S25",38.49407838,-122.8533258,"180101100706",c(-122.8533258, 38.49407838)
"150","USGS 11467000 RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA","SonomaOneRain2020_SWRCB.shp","S26",38.50852336,-122.9277737,"180101100903",c(-122.9277737, 38.50852336)
"151","Dutch Bill C at Westminter Woods","SonomaOneRain2020_SWRCB.shp","S27",38.4517995770756,-123.000447728861,"180101100903",c(-123.000447728861, 38.4517995770756)
"152","USGS 11467200 AUSTIN C NR CAZADERO CA","SonomaOneRain2020_SWRCB.shp","S28",38.5065797,-123.0697239,"180101100802",c(-123.0697239, 38.5065797)
"473","BIGC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M1",40.5536866153974,-123.144403565721,"180102120204",c(-123.144403565721, 40.5536866153974)
"474","BIGC2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M2",40.593514674014,-123.151088177881,"180102120204",c(-123.151088177881, 40.593514674014)
"475","BROC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M3",40.6506088767542,-122.985215681654,"180102110602",c(-122.985215681654, 40.6506088767542)
"476","BROC2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M4",40.62637,-122.96082,"180102110602",c(-122.96082, 40.62637)
"477","BROC3","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M5",40.6247345024452,-122.955201588096,"180102110602",c(-122.955201588096, 40.6247345024452)
"478","BROC4","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M6",40.5269996075533,-122.938559416735,"180102110601",c(-122.938559416735, 40.5269996075533)
"479","EHAY1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M8",40.4896089524074,-123.062901786917,"180102120201",c(-123.062901786917, 40.4896089524074)
"480","ELTC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M9",40.6618717489175,-123.49395473406,"180102120503",c(-123.49395473406, 40.6618717489175)
"481","EWEA1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M10",40.7696944444444,-122.918472222222,"180102110705",c(-122.918472222222, 40.7696944444444)
"482","EWEA2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M11",40.7809166666667,-122.93525,"180102110705",c(-122.93525, 40.7809166666667)
"483","HAYC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M12",40.6158831495847,-123.449579060301,"180102120305",c(-123.449579060301, 40.6158831495847)
"484","HAYC4","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M15",40.4904759070236,-123.071283733499,"180102120205",c(-123.071283733499, 40.4904759070236)
"485","HAYC5","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M16",40.4702163520332,-123.06012259749,"180102120202",c(-123.06012259749, 40.4702163520332)
"486","HAYC6","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M17",40.3819082502963,-123.069213519993,"180102120202",c(-123.069213519993, 40.3819082502963)
"487","PHIC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M20",40.466595863357,-123.188780077153,"180102120301",c(-123.188780077153, 40.466595863357)
"488","POSC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M21",40.3916364309528,-123.275750828426,"180102120401",c(-123.275750828426, 40.3916364309528)
"489","RATC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M22",40.3700635724423,-123.313049229628,"180102120401",c(-123.313049229628, 40.3700635724423)
"490","RATC2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M23",40.3912390188589,-123.276173382092,"180102120401",c(-123.276173382092, 40.3912390188589)
"491","REAC1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M24",40.6427534791903,-122.952855310238,"180102110706",c(-122.952855310238, 40.6427534791903)
"492","SALC2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M26",40.495791380244,-123.17067517002,"180102120301",c(-123.17067517002, 40.495791380244)
"493","SALC3","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M27",40.4258477925168,-123.114578504013,"180102120301",c(-123.114578504013, 40.4258477925168)
"494","SFTR1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M28",40.3696711611374,-123.314896695786,"180102120404",c(-123.314896695786, 40.3696711611374)
"495","SIDG1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M29",40.7337222222222,-122.942305555556,"180102110705",c(-122.942305555556, 40.7337222222222)
"496","USGS1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M31",40.649863,-123.494205,"180102120503",c(-123.494205, 40.649863)
"497","WEAC2","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M34",40.7209444444444,-122.940527777778,"180102110705",c(-122.940527777778, 40.7209444444444)
"498","WWEA1","All_Sites_Master_File_1_Exce1 Events_SWRCB.shp","M35",40.7436111111111,-122.968694444444,"180102110705",c(-122.968694444444, 40.7436111111111)
"499","Mill Creek _ PAL-000.04","WIL_PAL_StageLoggers_SWRCB.shp","W1",38.5838872655449,-122.947923215322,"180101100506",c(-122.947923215322, 38.5838872655449)
"500","WIL-003.68","WIL_PAL_StageLoggers_SWRCB.shp","W2",38.430202120079,-123.067675132587,"180101100904",c(-123.067675132587, 38.430202120079)
